1|Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid|no tags|INGREDIENT
2|Apples, raw, with skin|no tags|INGREDIENT
3|Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)|no tags|INGREDIENT
4|Apricots, dried, sulfured, uncooked|no tags|INGREDIENT
5|Bananas, raw|no tags|INGREDIENT
6|Basil, fresh|no tags|INGREDIENT
7|Beans, snap, green, raw|no tags|INGREDIENT
8|Carrots, raw|no tags|INGREDIENT
9|Celery, raw|no tags|INGREDIENT
10|Cereals ready-to-eat, HEALTH VALLEY, FIBER 7 Flakes|no tags|INGREDIENT
11|Cereals ready-to-eat, rice, puffed, fortified|no tags|INGREDIENT
12|Chives, raw|no tags|INGREDIENT
13|Coriander (cilantro) leaves, raw|no tags|INGREDIENT
14|Egg, white, raw, fresh|no tags|INGREDIENT
15|Figs, dried, uncooked|no tags|INGREDIENT
16|Fish, haddock, smoked|no tags|INGREDIENT
17|Garlic, raw|no tags|INGREDIENT
18|Ginger root, raw|no tags|INGREDIENT
19|Honey|no tags|INGREDIENT
20|Lemon juice, raw|no tags|INGREDIENT
21|Lemon peel, raw|no tags|INGREDIENT
22|Limes, raw|no tags|INGREDIENT
23|Milk substitutes, fluid, with lauric acid oil|no tags|INGREDIENT
24|Millet, puffed|no tags|INGREDIENT
25|Mollusks, scallop, mixed species, raw|no tags|INGREDIENT
26|Mushrooms, white, raw|no tags|INGREDIENT
27|Nuts, almonds, dry roasted, without salt added|no tags|INGREDIENT
28|Oil, olive, salad or cooking|no tags|INGREDIENT
29|Onions, raw|no tags|INGREDIENT
30|Orange peel, raw|no tags|INGREDIENT
31|Parsley, fresh|no tags|INGREDIENT
32|Pears, raw|no tags|INGREDIENT
33|Peas, green, raw|no tags|INGREDIENT
34|Peppers, hot chili, red, raw|no tags|INGREDIENT
35|Peppers, sweet, red, raw|no tags|INGREDIENT
36|Plums, dried (prunes), uncooked|no tags|INGREDIENT
37|Potato flour|no tags|INGREDIENT
38|Quinoa, cooked|no tags|INGREDIENT
39|Raisins, seedless|no tags|INGREDIENT
40|Rice flour, white|no tags|INGREDIENT
41|Rice noodles, cooked|no tags|INGREDIENT
42|Rice, brown, long-grain, cooked|no tags|INGREDIENT
43|SILK Plain soy yogurt|no tags|INGREDIENT
44|SWANSON BROTH, Vegetable Broth|no tags|INGREDIENT
45|Seeds, flaxseed|no tags|INGREDIENT
46|Seeds, pumpkin and squash seed kernels, dried|no tags|INGREDIENT
47|Seeds, pumpkin and squash seeds, whole, roasted, with salt added|no tags|INGREDIENT
48|Seeds, sesame seeds, whole, dried|no tags|INGREDIENT
49|Seeds, sunflower seed kernels, toasted, with salt added|no tags|INGREDIENT
50|Spearmint, fresh|no tags|INGREDIENT
51|Spices, nutmeg, ground|no tags|INGREDIENT
52|Spices, paprika|no tags|INGREDIENT
53|Spices, pepper, black|no tags|INGREDIENT
54|Spinach, raw|no tags|INGREDIENT
55|Syrups, maple|no tags|INGREDIENT
56|Tomatoes, red, ripe, raw, year round average|no tags|INGREDIENT
57|Vanilla extract|no tags|INGREDIENT
58|Mixed Cereal Muesli with Grated Apples|basic recipe|RECIPE
59|Smoked haddock kedgeree with grilled tomatoes|basic recipe|RECIPE
60|Quinoa Porridge with Bananas|basic recipe|RECIPE
61|Millet or rice flake porridge|basic recipe|RECIPE
62|Dried fruit compôte with orange|basic recipe|RECIPE
63|Fruit crumble|basic recipe|RECIPE
64|Lime and apple drink|basic recipe|RECIPE
65|Ginger and apple blender drink|basic recipe|RECIPE
66|Grilled scallops with green sauce julienne vegetables and rice noodles|basic recipe|RECIPE
67|Mushroom stroganoff with rice and quinoa pilaf|basic recipe|RECIPE
68|Fruit crumble|no tags|DISH
69|Smoked haddock kedgeree with grilled tomatoes|no tags|DISH
70|Lime and apple drink|no tags|DISH
71|Mushroom stroganoff with rice and quinoa pilaf|no tags|DISH
72|Grilled scallops with green sauce julienne vegetables and rice noodles|no tags|DISH
73|Dried fruit compôte with orange|no tags|DISH
74|Quinoa Porridge with Bananas|no tags|DISH
75|Millet or rice flake porridge|no tags|DISH
76|Mixed Cereal Muesli with Grated Apples|no tags|DISH
77|Ginger and apple blender drink|no tags|DISH
78|Meal 1|no tags|MEAL
79|Meal 2|no tags|MEAL
80|Meal 3|no tags|MEAL
81|Meal 4|no tags|MEAL
82|Meal 5|no tags|MEAL
83|Meal 6|no tags|MEAL
84|Day 1|no tags|DAY
85|Day 2|no tags|DAY
86|Day 3|no tags|DAY
